id,question,option_a,option_b,option_c,option_d,correct_answer
1,She _____ to the market every Sunday.,go,goes,going,gone,goes
2,I am interested _____ learning music.,on,at,in,with,in
3,They _____ happy to see you yesterday.,was,were,are,is,were
4,He _____ his homework right now.,do,does,is doing,did,is doing
5,_____ you speak English?,Do,Does,Are,Is,Do
6,My sister is _____ than me.,tall,taller,tallest,more tall,taller
7,I have _____ apple in my bag.,a,an,the,some,an
8,We _____ to the cinema last night.,go,goes,went,going,went
9,She can _____ very well.,sing,sings,singing,sang,sing
10,There are many _____ in the garden.,flower,flowers,flowering,flowered,flowers
11,He _____ coffee every morning.,drink,drinks,drinking,drank,drinks
12,_____ is your name?,What,Where,When,How,What
13,I _____ been to Paris twice.,have,has,had,having,have
14,The book is _____ the table.,on,in,at,under,on
15,She _____ not like spicy food.,do,does,is,are,does
16,They are _____ a movie now.,watch,watches,watching,watched,watching
17,_____ you help me, please?,Can,Do,Are,Is,Can
18,He is _____ honest person.,a,an,the,some,an
19,We _____ play football tomorrow.,will,shall,would,going,will
20,My father _____ a doctor.,is,am,are,be,is
21,_____ students are in the class?,How many,How much,What,Which,How many
22,She speaks English very _____.,good,well,better,best,well
23,I need _____ water.,a,an,some,any,some
24,_____ he live in Jakarta?,Do,Does,Is,Are,Does
25,They _____ finished their work.,have,has,had,having,have
26,The weather is _____ today.,rain,rainy,raining,rained,rainy
27,I usually wake up _____ 6 AM.,in,on,at,by,at
28,She is the _____ student in class.,smart,smarter,smartest,most smart,smartest
29,_____ you tired?,Is,Am,Are,Do,Are
30,He _____ to school by bus.,go,goes,going,gone,goes
31,I _____ my keys yesterday.,lose,loses,lost,losing,lost
32,_____ is the nearest hospital?,Where,What,When,Who,Where
33,She has _____ beautiful voice.,a,an,the,some,a
34,We _____ studying English now.,is,am,are,be,are
35,_____ often do you exercise?,How,What,When,Where,How
36,He _____ swim when he was five.,can,could,may,might,could
37,There _____ a cat under the car.,is,am,are,be,is
38,I like _____ music.,listen,listens,listening,listened,listening
39,She _____ her mother every week.,call,calls,calling,called,calls
40,_____ your favorite color?,What,What's,Which,How,What's
41,They _____ to the party last night.,come,comes,came,coming,came
42,He works _____ a bank.,in,on,at,by,in
43,I _____ never seen such a thing.,have,has,had,having,have
44,_____ is raining outside.,It,They,He,She,It
45,She is good _____ mathematics.,in,on,at,by,at
46,We need to _____ our homework.,do,does,doing,did,do
47,_____ car is this?,Who,Whose,Which,What,Whose
48,He _____ television every evening.,watch,watches,watching,watched,watches
49,I am looking _____ my book.,for,at,in,on,for
50,_____ you like tea or coffee?,Do,Does,Are,Is,Do
51,She _____ born in 1990.,is,was,are,were,was
52,The children are playing _____ the park.,in,on,at,by,in
53,I _____ go to the gym tomorrow.,will,shall,would,going,will
54,_____ pen is on the desk.,A,An,The,Some,The
55,He didn't _____ to school today.,go,goes,going,went,go
56,We are _____ for the bus.,wait,waits,waiting,waited,waiting
57,_____ time is it?,What,Which,When,How,What
58,She speaks _____ than her brother.,loud,louder,loudest,more loud,louder
59,I have _____ questions.,a,an,some,any,some
60,_____ he sleeping?,Is,Am,Are,Do,Is
61,They _____ soccer every Saturday.,play,plays,playing,played,play
62,I met him _____ Monday.,in,on,at,by,on
63,This is _____ expensive dress.,a,an,the,some,an
64,She _____ not come yesterday.,do,does,did,doing,did
65,We _____ to finish this work.,have,has,had,having,have
66,_____ you hungry?,Is,Am,Are,Do,Are
67,He is afraid _____ dogs.,of,on,at,in,of
68,I _____ my homework yesterday.,finish,finishes,finished,finishing,finished
69,_____ is your birthday?,When,Where,What,How,When
70,She has _____ brother and two sisters.,a,an,the,some,a
71,They _____ arriving soon.,is,am,are,be,are
72,_____ much does it cost?,How,What,Which,Where,How
73,He can play _____ guitar.,a,an,the,some,the
74,I don't have _____ money.,a,an,some,any,any
75,_____ she like ice cream?,Do,Does,Is,Are,Does
76,We _____ visited that museum.,have,has,had,having,have
77,The train leaves _____ 3 PM.,in,on,at,by,at
78,She is _____ than before.,happy,happier,happiest,more happy,happier
79,_____ you understand me?,Do,Does,Are,Is,Do
80,He _____ to the office daily.,go,goes,going,gone,goes
81,I saw her _____ the market.,in,on,at,by,at
82,_____ is knocking at the door?,Who,Whom,Whose,Which,Who
83,She has _____ umbrella.,a,an,the,some,an
84,We _____ playing cricket now.,is,am,are,be,are
85,_____ long will you stay?,How,What,When,Where,How
86,He _____ drive a car last year.,can,could,may,might,could
87,There _____ many books here.,is,am,are,be,are
88,I enjoy _____ books.,read,reads,reading,readed,reading
89,She _____ her dog every day.,walk,walks,walking,walked,walks
90,_____ the weather like today?,What,What's,How,How's,What's
91,They _____ to London last year.,go,goes,went,going,went
92,He lives _____ a small town.,in,on,at,by,in
93,I _____ already eaten lunch.,have,has,had,having,have
94,_____ is very cold today.,It,They,He,She,It
95,She is busy _____ her work.,in,on,at,with,with
96,We must _____ our best.,do,does,doing,did,do
97,_____ bag is this?,Who,Whose,Which,What,Whose
98,He _____ the news every night.,watch,watches,watching,watched,watches
99,I am waiting _____ you.,for,at,in,on,for
100,_____ you ready to go?,Is,Am,Are,Do,Are
