question,option_a,option_b,option_c,option_d,answer
What type of literature is referenced in the passage?,Marriage and wealth in society,English as lingua franca,Social transformations,Poetry and drama,Poetry and drama
What is the central idea of this passage?,Online education challenges,Marriage and wealth in society,Social transformations,Poetry and drama,Social transformations
What impact of technology is mentioned in the passage?,Technological advancements,Poetry and drama,Critique of gender roles,Marriage and wealth in society,Technological advancements
What challenge is highlighted in the text?,Industrial Revolution,Critique of gender roles,Marriage and wealth in society,Technological advancements,Technological advancements
Who is mentioned as an important figure in this passage?,Accessibility of information,English as lingua franca,Marriage and wealth in society,Social transformations,Social transformations
Which historical event is described in this passage?,English as lingua franca,Technological advancements,Accessibility of information,Critique of gender roles,Critique of gender roles
What impact of technology is mentioned in the passage?,Online education challenges,Poetry and drama,Critique of gender roles,Technological advancements,Online education challenges
What impact of technology is mentioned in the passage?,Social transformations,Marriage and wealth in society,Poetry and drama,Critique of gender roles,Social transformations
What kind of literary contributions are discussed here?,Technological advancements,English as lingua franca,Marriage and wealth in society,Online education challenges,Online education challenges
What kind of literary contributions are discussed here?,Technological advancements,English as lingua franca,Shakespeare,Social transformations,Technological advancements
What is the central idea of this passage?,Accessibility of information,Shakespeare,Online education challenges,Industrial Revolution,Accessibility of information
What is the main theme discussed in this passage?,Industrial Revolution,English as lingua franca,Poetry and drama,Online education challenges,Industrial Revolution
What role does English play according to the passage?,Critique of gender roles,Technological advancements,Online education challenges,Poetry and drama,Critique of gender roles
What challenge is highlighted in the text?,Technological advancements,English as lingua franca,Critique of gender roles,Marriage and wealth in society,Technological advancements
How does the author critique social norms in the passage?,Accessibility of information,Poetry and drama,Shakespeare,Technological advancements,Shakespeare
How does the author critique social norms in the passage?,Poetry and drama,English as lingua franca,Industrial Revolution,Marriage and wealth in society,Industrial Revolution
What role does English play according to the passage?,English as lingua franca,Shakespeare,Marriage and wealth in society,Online education challenges,Shakespeare
What is the central idea of this passage?,English as lingua franca,Technological advancements,Critique of gender roles,Marriage and wealth in society,Critique of gender roles
What is the central idea of this passage?,Accessibility of information,Shakespeare,Industrial Revolution,Critique of gender roles,Critique of gender roles
What challenge is highlighted in the text?,Online education challenges,Critique of gender roles,Shakespeare,Social transformations,Shakespeare
Which historical event is described in this passage?,Online education challenges,Marriage and wealth in society,Poetry and drama,Technological advancements,Poetry and drama
What impact of technology is mentioned in the passage?,Shakespeare,Poetry and drama,English as lingua franca,Accessibility of information,Accessibility of information
What is the central idea of this passage?,Marriage and wealth in society,Industrial Revolution,Online education challenges,Technological advancements,Online education challenges
What type of literature is referenced in the passage?,Online education challenges,English as lingua franca,Accessibility of information,Critique of gender roles,Accessibility of information
Which historical event is described in this passage?,Shakespeare,English as lingua franca,Critique of gender roles,Accessibility of information,Critique of gender roles
What role does English play according to the passage?,Poetry and drama,Shakespeare,Critique of gender roles,Online education challenges,Shakespeare
What role does English play according to the passage?,Technological advancements,English as lingua franca,Industrial Revolution,Critique of gender roles,Industrial Revolution
